circuitstring,Parameters
"[P1,R2]-R3","{'P1w': 1.986654419964975e-06, 'P1n': 0.9373079958623047, 'R2': 4629850.953391226, 'R3': 139.14713061653163}"
"R1-P2-[P3,R4]","{'R1': 130.21245496329337, 'P2w': 2.726518813253607e-06, 'P2n': 0.8681492329761771, 'P3w': 898179842.3135369, 'P3n': 0.8671955810406204, 'R4': 109781191.8272061}"
"P1-R2-[P3,R4]-[L5,R6]","{'P1w': 3.060047763952672e-05, 'P1n': 0.8656671998064308, 'R2': 139.68410290307114, 'P3w': 2.0355768962488757e-06, 'P3n': 0.9521824823343752, 'R4': 3756228.5668118354, 'L5': 3.992901235637166e-20, 'R6': 686733089.0863287}"
"R1-[R2-L3,P4]","{'R1': 139.14713070316256, 'R2': 4629850.951461096, 'L3': 4.16089662136513e-09, 'P4w': 1.9866544220375024e-06, 'P4n': 0.9373079958415903}"
"R1-[R2-[R3,P4],[L5,R6]-P7]","{'R1': 141.23906880866465, 'R2': 2757765.1015891605, 'R3': 1499999987.9777336, 'P4w': 2.2882416023531487e-06, 'P4n': 0.4017278612838408, 'L5': 1.0269190149187605e-16, 'R6': 834372380.7853769, 'P7w': 1.817407466396406e-06, 'P7n': 0.954905888771501}"
"P1-[P2,R3]-L4-R5","{'P1w': 3.060047791227673e-05, 'P1n': 0.8656672001651722, 'P2w': 2.0355768949833594e-06, 'P2n': 0.9521824822597936, 'R3': 3756228.5791262547, 'L4': 6.94937958919136e-21, 'R5': 139.68410298946637}"
"[P1,P2]-[P3,R4]-R5","{'P1w': 1.4706292096441107e-06, 'P1n': 0.34376367445689265, 'P2w': 4.654516669629682e-06, 'P2n': 0.999999985635303, 'P3w': 2.8272405794492478e-06, 'P3n': 0.9398241617577261, 'R4': 2206492.89891646, 'R5': 141.32371538045382}"
"R1-[R2,P3-R4]","{'R1': 35.07220572671824, 'R2': 4629955.027337872, 'P3w': 1.986565107637467e-06, 'P3n': 0.9373079957841405, 'R4': 104.07726417290927}"
"P1-R2-[P3,R4]-R5","{'P1w': 2.7265188153219155e-06, 'P1n': 0.868149232948759, 'R2': 77.43663917559485, 'P3w': 452987714.04031914, 'P3n': 0.8651039170000835, 'R4': 390587055.2351061, 'R5': 52.77581578101956}"
"L1-[P2,R3]-[R4,L5]-P6-R7","{'L1': 7.336357952082608e-20, 'P2w': 2.035576896057408e-06, 'P2n': 0.9521824825733203, 'R3': 3756228.5744548813, 'R4': 862734206.1976002, 'L5': 4.4767342105739886e-20, 'P6w': 3.0600477686348286e-05, 'P6n': 0.8656671995057185, 'R7': 139.68410278904608}"
"[P1,P2-R3]-R4","{'P1w': 1.8172983928967454e-06, 'P1n': 0.9549161213807512, 'P2w': 2.275503938969737e-06, 'P2n': 0.4002444280286115, 'R3': 2753990.312617316, 'R4': 141.2402327553605}"
"R1-[P2-R3,[L4,R5]-P6]","{'R1': 141.24023286281513, 'P2w': 2.27550393232863e-06, 'P2n': 0.4002444276409079, 'R3': 2753990.3122879867, 'L4': 9.778577835323835e-21, 'R5': 701831455.1908306, 'P6w': 1.8172983936370922e-06, 'P6n': 0.9549161213477311}"
"R1-[R2,P3-L4]","{'R1': 139.14713051318796, 'R2': 4629850.9504917, 'P3w': 1.986654421152103e-06, 'P3n': 0.9373079958117277, 'L4': 4.579783278040225e-21}"
"[P1,P2-[R3,L4]]-R5","{'P1w': 9.503614832162238, 'P1n': 1.0, 'P2w': 932102500.0769538, 'P2n': 0.99999999985139, 'R3': 999999997.5006131, 'L4': 4.561727426090469, 'R5': 3224022.358994354}"
"R1-[P2,[R3,P4]]","{'R1': 142.06322312672248, 'P2w': 1.7374203222790718e-06, 'P2n': 0.9624345575203931, 'R3': 999999999.9999995, 'P4w': 4.0628439493973436e-07, 'P4n': 0.1667769437233244}"
