circuitstring,Parameters
"[P1-R2,R3]","{'P1w': 1.986535009696659e-06, 'P1n': 0.9373079957705024, 'R2': 139.15131250606746, 'R3': 4629990.09507523}"
"[P1,R2]-R3","{'P1w': 1.986654419964975e-06, 'P1n': 0.9373079958623047, 'R2': 4629850.953391226, 'R3': 139.14713061653163}"
"P1-[L2,R3]-[P4,R5]","{'P1w': 0.007186637598734201, 'P1n': 5.5757649651288175e-18, 'L2': 1.141998475705314e-19, 'R3': 147026519.63048315, 'P4w': 1.9866544228564884e-06, 'P4n': 0.9373079956565878, 'R5': 4629850.952780835}"
"[R1,L2]-[P3,R4]","{'R1': 575681380.7164713, 'L2': 2.552295283120748e-19, 'P3w': 2.3029244849630996e-06, 'P3n': 0.8696861394483308, 'R4': 5231046.110359364}"
"[R1,[R2,R3]-P4]","{'R1': 3340406.185539958, 'R2': 891728744.7719296, 'R3': 421845567.34155893, 'P4w': 6.641384619399239e-05, 'P4n': 0.93695489085479}"
"R1-P2-[P3,R4]","{'R1': 130.21245496329337, 'P2w': 2.726518813253607e-06, 'P2n': 0.8681492329761771, 'P3w': 898179842.3135369, 'P3n': 0.8671955810406204, 'R4': 109781191.8272061}"
"[L1-R2-P3,P4]","{'L1': 7.524999998835388, 'R2': 4847243.105039916, 'P3w': 3.614916373336484e-05, 'P3n': 0.8286989771437115, 'P4w': 2.2329595598872403e-06, 'P4n': 0.8763203698281801}"
"P1-[R2,P3-[L4,R5]]","{'P1w': 2.8062344286535294e-06, 'P1n': 0.8488456430793359, 'R2': 706160210.1336322, 'P3w': 984772769.4072356, 'P3n': 0.85061068420394, 'L4': 0.03603103951676124, 'R5': 138.55856522845784}"
"[P1,R2]-R3","{'P1w': 1.9866544206273476e-06, 'P1n': 0.9373079958544709, 'R2': 4629850.953416649, 'R3': 139.14713046283842}"
"[P1,L2-P3]-P4","{'P1w': 0.007216733512138039, 'P1n': 2.81566153338645e-18, 'L2': 0.03609096710348783, 'P3w': 0.002646542903039066, 'P3n': 1.5249999999999708, 'P4w': 2.8074252422833815e-06, 'P4n': 0.848834233586302}"
"[P1-R2,R3]","{'P1w': 220744877.92529374, 'P1n': 0.09427042507446244, 'R2': 608377736.3161393, 'R3': 3319909.299871689}"
"[L1,P2]-[P3,R4]","{'L1': 0.15678187139862657, 'P2w': 0.007111688462070404, 'P2n': 0.0009531232687701475, 'P3w': 2.0099727361290366e-06, 'P3n': 0.925568660356547, 'R4': 4710273.460775866}"
"R1-[P2,R3]","{'R1': 139.14713051328738, 'P2w': 1.9866544217236513e-06, 'P2n': 0.9373079958333914, 'R3': 4629850.950876639}"
"[R1-P2,R3]","{'R1': 656865633.5442209, 'P2w': 800.0335083738784, 'P2n': 0.9853932007418809, 'R3': 3318572.4498197054}"
"[R1,P2]-R3","{'R1': 4629850.949876336, 'P2w': 1.9866544201228416e-06, 'P2n': 0.9373079956750696, 'R3': 139.14713029302203}"
"[P1-R2,R3]","{'P1w': 1.986535011177553e-06, 'P1n': 0.9373079957796163, 'R2': 139.15131254352045, 'R3': 4629990.09732722}"
"P1-[[[L2,R3]-P4,R5],R6]","{'P1w': 0.007186637596723201, 'P1n': 2.181217503370509e-17, 'L2': 2.7795158305591005e-19, 'R3': 178956705.5983494, 'P4w': 1.986654420095955e-06, 'P4n': 0.9373079960172214, 'R5': 4654573.380286079, 'R6': 871677637.3567853}"
"[R1-C2,P3-[L4,R5]]","{'R1': 5072192.650099932, 'C2': 8.4626263669404e-05, 'P3w': 2.244840985220919e-06, 'P3n': 0.8751285996782849, 'L4': 2.9766689155807144e-20, 'R5': 655995652.8200465}"
"P1-R2-[P3,R4]-[L5,R6]","{'P1w': 3.060047763952672e-05, 'P1n': 0.8656671998064308, 'R2': 139.68410290307114, 'P3w': 2.0355768962488757e-06, 'P3n': 0.9521824823343752, 'R4': 3756228.5668118354, 'L5': 3.992901235637166e-20, 'R6': 686733089.0863287}"
"[R1,L2]-P3-[P4,R5]","{'R1': 552348954.9961827, 'L2': 5.477199431623559e-21, 'P3w': 0.0071866376060721335, 'P3n': 6.1649779750379895e-18, 'P4w': 1.9866544205226085e-06, 'P4n': 0.9373079958811735, 'R5': 4629850.952811408}"
"R1-[R2-L3,P4]","{'R1': 139.14713070316256, 'R2': 4629850.951461096, 'L3': 4.16089662136513e-09, 'P4w': 1.9866544220375024e-06, 'P4n': 0.9373079958415903}"
"[R1,L2-P3]-P4","{'R1': 188.9276100252854, 'L2': 0.0007108825947209154, 'P3w': 0.0024355085721782855, 'P3n': 6.789571858846744e-06, 'P4w': 2.7303296636564786e-06, 'P4n': 0.8675362425500577}"
"P1-[P2,R3]","{'P1w': 0.007186637593470871, 'P1n': 2.2088533133164936e-17, 'P2w': 1.986654419120761e-06, 'P2n': 0.9373079958268301, 'R3': 4629850.948087294}"
"[R1-P2,R3]","{'R1': 139.1513124659387, 'P2w': 1.986535011806426e-06, 'P2n': 0.9373079956095031, 'R3': 4629990.104102741}"
"[P1,R2]-R3-C4","{'P1w': 1.975401306058415e-06, 'P1n': 0.9430055801968446, 'R2': 4086839.408263605, 'R3': 139.96167979375053, 'C4': 6.429085825107066e-05}"
